[2025-09-29 13:58:38] [INFO    ] discord.client: logging in using static token
[2025-09-29 13:58:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-29 13:58:39] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-29 13:58:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1421749292619661412', 'username': 'PSCP', 'avatar': None, 'discriminator': '2595', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-29 13:58:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-29 13:58:39] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-29 13:58:39] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1421749292619661412', 'name': 'PSCP', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1421749292619661412', 'username': 'PSCP', 'avatar': None, 'discriminator': '2595', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '2fd954135cd2881f8b0410b8b1fa8b228e9685e6e034ebbad90f5f9f179ca366', 'flags': 8945664, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '438527227286519810', 'username': 'imissher.dofu', 'avatar': '1915214d31e4d2e090b556b32c68c02f', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 269617, 'global_name': 'I Hope They Play FE!N', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#041d31', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2528, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-29 13:58:40] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-29 13:58:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-q33b",{"micros":0.0}]']}}
[2025-09-29 13:58:40] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-29 13:58:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-29 13:58:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'PSCP', 'primary_guild': None, 'mfa_enabled': True, 'id': '1421749292619661412', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2595', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'd0fbb9f5bfcb9427333aa1a2800175a8', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1421750535731544105'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'india', 'japan', 'dubai'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1421749292619661412', 'flags': 8945664}, '_trace': ['["gateway-prd-arm-us-east1-c-q33b",{"micros":91991,"calls":["id_created",{"micros":351,"calls":[]},"session_lookup_time",{"micros":1212,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-176",{"micros":90129,"calls":["start_session",{"micros":67709,"calls":["discord-api-rpc-57bbf99c88-84mdf",{"micros":35470,"calls":["get_user",{"micros":4518},"get_guilds",{"micros":2054},"send_scheduled_deletion_message",{"micros":11},"guild_join_requests",{"micros":393},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":24233},"apex_experiments",{"micros":2256},"user_activities",{"micros":5},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":32,"calls":[]},"presence_started",{"micros":268,"calls":[]},"guilds_started",{"micros":76,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":21982,"calls":[]},"connect_finished",{"micros":22031,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-09-29 13:58:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-29 13:58:40] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: d0fbb9f5bfcb9427333aa1a2800175a8).
[2025-09-29 13:58:40] [DEBUG   ] discord.client: Dispatching event connect
